##&	OSCISLO	ZR_STRAVNE
 	043	21.24
 	007	22.42
 	536	12.98
 	042	24.78
 	203	24.78
 	182	18.88
 	070	23.6
 	545	10.62
 	589	11.8
 	064	25.96
 	011	2.36
 	552	23.6
 	416	2.36
 	371	16.52
 	093	16.52
 	019	24.78
 	577	24.78
 	072	25.96
 	094	11.8
 	024	18.88
 	512	20.06
 	078	20.06
 	027	25.96
 	215	23.6
 	561	24.78
 	594	18.88
 	587	8.26
 	041	21.24
 	015	17.7
 	033	25.96
 	592	21.24
 	572	3.54
 	522	23.6
 	034	21.24
 	496	25.96
 	579	23.6
 	218	25.96
 	590	14.16
 	485	2.36
 	553	24.78
 	559	24.78
 	254	25.96
 	582	9.44
 	560	23.6
 	513	21.24
 	469	20.06
 	531	9.44
 	578	21.24
 	533	14.16
 	301	24.78
 	013	17.7
 	026	20.06
 	381	3.54
 	075	23.6
 	049	21.24
 	497	22.42
 	144	24.78
 	549	22.42
 	390	16.52
 	016	21.24
 	174	17.7
 	352	17.7
 	291	25.96
 	160	20.06
 	012	1.18
 	537	22.42
